fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.00764,0.01045,0.82429,0.00061,3.08253,0.78596,5.9262,0.72548,1.49194,0.01836,0.68422,0.48493,0.00133,0.11685,0.60885,0.00268,0.00057,0.00028,0.57678,0.00367,0.56535,0.0047,0.01906,0.00061,9
0.0,0.00737,0.01,0.75884,0.0008,3.01996,0.74608,8.14104,0.53221,1.76966,0.0151,0.84994,0.41575,0.00038,0.11457,0.5127,0.00012,0.001,0.00059,0.48118,0.0,0.69852,0.0064,0.0015,0.00117,10
0.0,0.00674,0.01,0.82212,0.00079,1.97371,0.84199,5.16882,0.49168,1.6561,0.02163,0.69451,0.44052,0.00097,0.09754,0.49807,0.00042,0.00068,0.0,0.5432,0.00857,0.80466,0.00359,0.01643,0.00106,10
0.0,0.00702,0.01108,0.97714,0.00017,3.52563,0.77603,16.14933,0.59261,1.28692,0.00787,0.88598,0.54042,0.00165,0.10638,0.4546,0.00153,0.00055,0.0003,0.69058,0.00324,0.40273,0.00777,0.01833,0.00101,9
0.0,0.00961,0.01027,0.87338,0.0,2.56525,0.77497,8.08906,0.49024,1.74427,0.01499,0.68118,0.51937,0.00123,0.12338,0.59392,0.00201,0.00085,0.00036,0.47755,0.00936,0.77051,0.01075,0.00098,0.00026,10
0.0,0.01,0.01152,0.86856,0.001,2.56648,0.95,10.79528,0.60331,1.34197,0.01408,0.84883,0.51807,0.00044,0.12372,0.42766,0.00036,0.00079,0.0,0.52429,0.00042,0.95538,0.00908,0.02704,0.0,7
0.0,0.00933,0.01,0.87571,1e-05,2.77369,0.74649,8.88997,0.55088,1.38944,0.01691,0.77759,0.53117,0.00094,0.11761,0.69212,0.00108,0.00077,0.00027,0.4979,0.0,0.52423,0.01021,0.0045,0.0007,9
0.0,0.00731,0.01124,0.84159,0.0,3.05285,0.79214,4.25303,0.40774,1.38823,0.00256,0.51195,0.58379,0.00188,0.11631,0.48953,0.00176,0.00078,0.0001,0.52862,0.0,1.0,0.01361,0.01554,0.00124,9
0.0,0.00716,0.0112,0.86137,0.001,3.16004,0.77216,6.682,0.63431,1.09686,0.00627,0.83238,0.51049,0.00046,0.07016,0.54457,0.00205,0.0,0.00058,0.42648,0.01185,0.60496,0.00278,0.01788,0.0,6
0.0,0.00939,0.0145,0.98,0.00067,3.54671,0.80225,7.45697,0.32954,1.62929,0.00646,0.77669,0.54928,0.00033,0.09392,0.65711,0.00115,0.001,0.00022,0.53133,0.00712,0.56744,0.0061,0.02248,0.00015,10
0.0,0.00859,0.0124,0.95406,0.00092,3.47322,0.70744,6.86809,0.53375,1.66254,0.00845,0.62666,0.47874,0.0016,0.08189,0.51776,0.00061,0.00061,0.0,0.38785,0.0,1.0,0.00535,0.0,0.00073,10
0.0,0.01,0.01148,0.78974,0.0008,3.54701,0.76004,10.32959,0.51737,1.42343,0.00451,0.66121,0.50932,0.0,0.09945,0.51478,0.00074,0.00097,0.0,0.42586,0.00976,0.85107,0.00215,0.00663,0.00065,10
0.0,0.00869,0.01311,0.88362,0.00098,3.9583,0.73591,8.65646,0.64762,1.76921,0.0,0.52496,0.48688,0.00105,0.05887,0.4844,0.00132,0.00052,0.00023,0.3316,0.00363,0.81677,0.0,0.01887,0.00127,10
0.0,0.00535,0.01156,0.90512,0.00092,3.21484,0.80145,10.20069,0.66135,1.43699,0.0,0.7,0.55479,0.0006,0.10332,0.58107,0.00164,0.00086,0.0,0.52275,0.00761,0.60842,0.00674,0.00916,0.00127,9
0.0,0.00668,0.0104,0.87698,0.00034,2.65009,0.94167,7.20168,0.47407,1.64458,0.0,0.85441,0.48555,0.00183,0.09508,0.56518,0.0,0.001,0.0,0.48018,0.00897,0.77507,0.01895,0.00846,0.00081,10
0.0,0.01,0.01057,0.96344,0.0005,2.98294,0.68204,8.63247,0.63145,1.09993,0.01044,0.86388,0.48429,5e-05,0.08179,0.71562,0.002,0.00084,0.0,0.33911,0.00238,0.97173,0.00423,0.0011,0.00029,10
0.0,0.00573,0.01103,0.78502,0.00066,1.68524,0.80378,7.79066,0.48276,1.50887,0.0,0.66584,0.45514,0.00121,0.10861,0.52059,0.00075,0.001,0.0,0.41448,0.00229,0.64807,0.01321,0.00561,0.00132,9
0.0,0.00792,0.0101,0.74771,0.00021,2.67099,0.52661,6.41174,0.48335,1.12908,0.01517,0.9,0.37922,0.00012,0.04677,0.62964,0.00078,0.00023,0.00042,0.51874,0.00615,1.0,0.00831,0.00794,0.00148,10
0.0,0.01,0.01097,0.89538,0.001,2.30663,0.76533,8.72026,0.60633,1.52406,0.01767,0.70554,0.52509,0.00039,0.04832,0.50734,0.00017,0.00058,0.0,0.56498,0.0,1.0,0.00654,0.02039,0.00129,10
0.0,0.00543,0.01105,0.83112,0.0,2.78299,0.78313,6.2048,0.39501,1.34366,0.01617,0.88978,0.58513,0.00185,0.08749,0.45021,0.00188,6e-05,0.00023,0.48013,0.00615,0.98972,0.0,0.00982,0.00108,8
0.0,0.0063,0.01154,0.88614,0.00075,4.08197,0.73162,6.24857,0.50526,1.12473,0.01428,0.74161,0.60862,0.0,0.10306,0.47649,0.00103,0.001,0.00039,0.49653,0.01244,0.44337,0.00474,0.01857,0.00063,10
0.0,0.00822,0.0114,0.88281,0.00068,2.84873,0.92618,10.56826,0.48225,1.82239,0.0173,0.68015,0.48606,0.00126,0.10413,0.53328,3e-05,0.001,0.00033,0.29875,0.00297,0.84261,0.00645,0.0,0.00132,9
0.0,0.0055,0.01133,0.89466,0.00066,2.97235,0.80275,7.0202,0.55854,0.91083,0.00783,0.86681,0.48334,0.00177,0.09406,0.61421,0.00184,0.00077,0.00041,0.53286,0.0098,0.61518,0.00571,0.00088,0.00095,8
0.0,0.00919,0.01039,0.77883,0.00033,3.37979,0.90369,9.84448,0.61975,1.22851,0.0,0.74533,0.39221,0.00097,0.09117,0.65152,0.00112,0.0009,0.0,0.54485,0.00128,1.0,0.01185,0.02137,0.0005,10
0.0,0.00708,0.01296,0.94479,0.00055,2.88904,0.79348,6.84717,0.54213,1.48576,0.0,0.74274,0.47849,0.00066,0.08725,0.65948,0.00035,0.00029,0.0,0.5625,0.00411,0.95388,0.01217,0.00173,6e-05,10
0.0,0.00624,0.01146,0.87946,0.00073,2.80961,0.7857,6.68826,0.41696,1.28212,0.01851,0.66993,0.47083,0.00047,0.07444,0.56532,0.00069,0.00091,0.00373,0.52916,0.00738,1.0,0.00683,0.01585,0.0,10
0.0,0.00747,0.01,0.86492,4e-05,2.93866,0.80344,7.49887,0.59067,1.34211,0.02197,0.56442,0.42118,0.00199,0.10323,0.43651,0.0026,0.00038,0.00032,0.51136,0.00339,0.51982,0.00884,0.01865,0.00116,10
0.0,0.0094,0.01233,0.78727,0.00039,3.42808,0.67694,10.25831,0.58644,1.07457,0.00301,0.77752,0.53058,0.0,0.09875,0.6142,0.00132,0.001,0.00085,0.64113,0.0,0.65821,0.01514,0.00519,0.00059,10
0.0,0.01,0.01202,0.9487,0.00093,4.51482,0.72145,5.75045,0.65606,1.682,0.01015,0.8613,0.53448,0.0,0.1102,0.47713,0.00147,6e-05,0.00016,0.62371,0.00332,0.96846,0.01624,0.00295,0.00023,10
0.0,0.00718,0.01276,0.75236,0.00065,3.58776,0.72796,8.48728,0.57402,1.29014,0.00685,0.55953,0.61032,0.00187,0.11765,0.58715,0.00069,0.001,0.0003,0.41445,0.0078,0.64396,0.00202,0.00374,0.0,10
0.0,0.00996,0.01,0.84349,0.00082,3.36535,0.71961,7.95986,0.39643,1.75067,0.0246,0.89941,0.4445,7e-05,0.07618,0.55362,0.0,0.00096,0.00046,0.39869,0.00098,0.96999,0.00289,0.00558,0.00058,9
